"","NLME","tNLME","NLME","tNLME","NLME","tNLME"
"MSPE",4.036,2.774,4.391,2.291,6.158,2.972
"(Freq)",12,88,1,99,0,100
"MSPE",3.654,2.371,4.509,2.438,6.033,2.549
"(Freq)",10,90,1,99,0,100
"MSPE",3.533,2.409,4.485,2.33,6.563,2.57
"(Freq)",6,94,0,100,0,100
"MSPE",3.512,2.403,4.387,2.318,6.454,2.48
"(Freq)",4,96,0,100,0,100
"MSPE",3.42,2.551,4.329,2.27,6.241,2.424
"(Freq)",3,97,0,100,0,100
